horizon_hours,yes_price_bucket,btc_past_1h_bucket,sample_count,average_yes_change,median_yes_change,yes_up_rate,average_btc_past_1h_return,average_btc_future_return
1,00_lt_0.03,00_btc_down_gt_1pct,723,-0.00016113416320885207,0.0,0.16874135546334718,-0.011043907635035688,0.0020467828727240727
1,00_lt_0.03,01_btc_down_0.25_1pct,14965,-5.4126294687603865e-05,0.0,0.1458068827263615,-0.004340754697379984,-0.0004045044759549068
1,00_lt_0.03,02_btc_flat,63147,-6.9425309199169e-05,0.0,0.11891301249465533,3.224494225470922e-05,1.983527486563452e-05
1,00_lt_0.03,03_btc_up_0.25_1pct,12787,-6.146867912723763e-05,0.0,0.13326034253538752,0.004134487577451501,0.0005242994863418878
1,00_lt_0.03,04_btc_up_gt_1pct,1065,0.00016103286384976524,0.0,0.21032863849765257,0.011927847291045736,-0.004042835805517601
1,01_0.03_0.08,00_btc_down_gt_1pct,74,-0.0004797297297297306,0.0,0.24324324324324326,-0.011060379441128382,0.0019872241176254204
1,01_0.03_0.08,01_btc_down_0.25_1pct,1738,-0.0006009781357882612,0.0,0.24395857307249713,-0.004317626770855235,-0.00029562073020768205
1,01_0.03_0.08,02_btc_flat,6777,-0.0006302198612955572,0.0,0.2549800796812749,1.4746936128916517e-05,-6.0058600638277735e-05
1,01_0.03_0.08,03_btc_up_0.25_1pct,1330,-0.0008999999999999974,0.0,0.25413533834586466,0.004127342887265979,0.0003590647916148947
1,01_0.03_0.08,04_btc_up_gt_1pct,146,0.0006917808219178079,0.0,0.2671232876712329,0.0119151531077562,-0.004141658669613843
1,02_0.08_0.20,00_btc_down_gt_1pct,56,-0.006937500000000001,-0.0050000000000000044,0.30357142857142855,-0.011009451257756766,0.0020958609042444334
1,02_0.08_0.20,01_btc_down_0.25_1pct,1509,-0.0008966202783300193,0.0,0.31610337972166996,-0.004287873015080155,-0.00013955207124657305
1,02_0.08_0.20,02_btc_flat,5852,-0.0014449760765550144,0.0,0.2650375939849624,-2.0297882476426405e-05,-3.847703417252826e-07
1,02_0.08_0.20,03_btc_up_0.25_1pct,1275,-0.0008043137254901972,0.0,0.3262745098039216,0.004150060727591279,0.00015044204888103248
1,02_0.08_0.20,04_btc_up_gt_1pct,109,-0.00805504587155963,0.0,0.30275229357798167,0.011926724751466347,-0.0041939943503082585
1,03_0.20_0.50,00_btc_down_gt_1pct,92,0.0030815217391304307,0.0,0.3695652173913043,-0.011005283645925856,0.002040538925173199
1,03_0.20_0.50,01_btc_down_0.25_1pct,2377,-0.006539124947412701,0.0,0.3504417332772402,-0.004203625012673526,-0.00013999616157467435
1,03_0.20_0.50,02_btc_flat,9847,-0.01114897938458413,0.0,0.3023255813953488,-4.536630571466657e-05,-8.101620475104175e-05
1,03_0.20_0.50,03_btc_up_0.25_1pct,1979,0.0032137443153107577,0.0,0.3996968165740273,0.004086904728686822,0.0003523021096616252
1,03_0.20_0.50,04_btc_up_gt_1pct,155,-0.009254838709677422,-0.0015000000000000013,0.2064516129032258,0.0118521695911993,-0.004193743029317175
1,04_gte_0.50,00_btc_down_gt_1pct,260,-0.0004115384615384591,0.0,0.40384615384615385,-0.011039903829726014,0.0020444199284097037
1,04_gte_0.50,01_btc_down_0.25_1pct,6144,-0.0021201171875000024,0.0,0.3277994791666667,-0.004301059536209877,-0.00028313706395294687
1,04_gte_0.50,02_btc_flat,25918,-0.00012281040203719534,0.0,0.33528821668338604,8.267910875334746e-06,-1.647261800011723e-05
1,04_gte_0.50,03_btc_up_0.25_1pct,5322,0.002100244269071786,0.0,0.420706501315295,0.004118501604657945,0.00029119355862360384
1,04_gte_0.50,04_btc_up_gt_1pct,434,-0.003171658986175099,0.0,0.2534562211981567,0.011895431518935575,-0.00412186574393395
3,00_lt_0.03,00_btc_down_gt_1pct,723,-0.0004813278008298758,0.0,0.17427385892116182,-0.011043907635035688,0.0018765916142261178
3,00_lt_0.03,01_btc_down_0.25_1pct,14839,-0.00042988071972504567,0.0,0.16948581440797897,-0.0043471715519579944,0.0001702130002679353
3,00_lt_0.03,02_btc_flat,59967,-0.0001662914603031671,0.0,0.1524338386112362,1.7538947821007238e-05,-0.0003206973658724179
3,00_lt_0.03,03_btc_up_0.25_1pct,12162,0.00020769610261469994,0.0,0.1799868442690347,0.0041449576827553404,0.0008611869207868925
3,00_lt_0.03,04_btc_up_gt_1pct,1001,-0.000577422577422577,0.0,0.23076923076923078,0.011983835495601669,-0.0031289404731163063
3,01_0.03_0.08,00_btc_down_gt_1pct,74,-0.0008851351351351352,0.0,0.3783783783783784,-0.011060379441128382,0.0012450917531480748
3,01_0.03_0.08,01_btc_down_0.25_1pct,1738,-0.003416858457997698,-0.0020000000000000018,0.23647871116225547,-0.004317626770855235,0.00018593341344117027
3,01_0.03_0.08,02_btc_flat,6676,-0.0009087028160575237,0.0,0.2646794487717196,1.8229747238299206e-05,-0.00031446265430520637
3,01_0.03_0.08,03_btc_up_0.25_1pct,1306,0.003496937212863711,0.0,0.29173047473200614,0.0041362957591555395,0.0005833938866627243
3,01_0.03_0.08,04_btc_up_gt_1pct,146,-0.0023527397260273957,0.0,0.3424657534246575,0.0119151531077562,-0.0031535901917829844
3,02_0.08_0.20,00_btc_down_gt_1pct,56,-0.009017857142857145,-0.0050000000000000044,0.30357142857142855,-0.011009451257756766,0.002409402660613114
3,02_0.08_0.20,01_btc_down_0.25_1pct,1509,-0.00859343936381709,-0.009999999999999995,0.27700463883366466,-0.004287873015080155,0.0004607567368368405
3,02_0.08_0.20,02_btc_flat,5792,-0.0075255524861879,-0.009999999999999981,0.2629488950276243,-2.2909425300952313e-05,-0.0005042108409771483
3,02_0.08_0.20,03_btc_up_0.25_1pct,1261,0.004361221252973836,0.0,0.3893735130848533,0.004158197898296427,0.0004881636081777705
3,02_0.08_0.20,04_btc_up_gt_1pct,109,-0.0206559633027523,-0.007999999999999993,0.22018348623853212,0.011926724751466347,-0.003225505862872606
3,03_0.20_0.50,00_btc_down_gt_1pct,92,-0.0072445652173913026,0.0,0.29347826086956524,-0.011005283645925856,0.0016543481395821474
3,03_0.20_0.50,01_btc_down_0.25_1pct,2377,-0.010092763988220456,0.0,0.3883045856121161,-0.004203625012673526,0.00040961939867171045
3,03_0.20_0.50,02_btc_flat,9733,-0.02044616253981305,0.0,0.3272372341518545,-4.366513512587976e-05,-0.0004641369503479904
3,03_0.20_0.50,03_btc_up_0.25_1pct,1957,0.004709504343382743,0.0,0.4108329075114972,0.004096238889987509,0.0006797098924367984
3,03_0.20_0.50,04_btc_up_gt_1pct,154,-0.01999675324675322,-0.007500000000000007,0.19480519480519481,0.011859630228569654,-0.0031243264645517397
3,04_gte_0.50,00_btc_down_gt_1pct,253,0.0015079051383399254,0.0,0.4505928853754941,-0.011039994763153753,0.0018926825560918398
3,04_gte_0.50,01_btc_down_0.25_1pct,6073,0.0020255228058620317,0.0,0.45150666886217683,-0.00430219774123134,0.000295326201408722
3,04_gte_0.50,02_btc_flat,25120,-0.0005369426751592306,0.0,0.4526671974522293,5.5676836940683585e-06,-0.0004622461960157818
3,04_gte_0.50,03_btc_up_0.25_1pct,5143,0.0012390628038110082,0.000500000000000056,0.5298463931557457,0.00412098790893483,0.0003620119654464183
3,04_gte_0.50,04_btc_up_gt_1pct,402,-0.0029141791044775996,0.0,0.36318407960199006,0.011922195281935149,-0.0031288061124948325
6,00_lt_0.03,00_btc_down_gt_1pct,719,-0.0004541029207232271,0.0,0.1627260083449235,-0.011045306547964857,0.004949354386696668
6,00_lt_0.03,01_btc_down_0.25_1pct,14218,-0.0004243212828808505,0.0,0.17048811365874245,-0.004351543699310222,-0.002096845919736951
6,00_lt_0.03,02_btc_flat,56520,-0.0003643489030431737,0.0,0.1576610049539986,2.2078348064568647e-05,-0.00043946050288631584
6,00_lt_0.03,03_btc_up_0.25_1pct,11155,0.0002473778574630201,0.0,0.1887942626624832,0.004168320178464676,0.0021062432658434027
6,00_lt_0.03,04_btc_up_gt_1pct,988,-0.0012160931174088978,0.0,0.12246963562753037,0.011979258660178956,-0.001858131513561403
6,01_0.03_0.08,00_btc_down_gt_1pct,74,-0.0006351351351351364,-0.0049999999999999975,0.28378378378378377,-0.011060379441128382,0.003123123529512136
6,01_0.03_0.08,01_btc_down_0.25_1pct,1708,-4.391100702570965e-06,-0.006499999999999999,0.25117096018735363,-0.004318432839080768,-0.0018636694109528265
6,01_0.03_0.08,02_btc_flat,6507,-0.0019319194713385648,-0.004499999999999997,0.2672506531427693,2.9380887528189003e-05,-0.00020995632638831922
