market_type,market_count,traded_market_count,trade_count,win_count,loss_count,win_rate,realized_pnl,total_fees,total_slippage,average_pnl_per_market,average_pnl_per_trade
all,216,11,40,10,10,0.5,18.413323858987816,21.40097689299394,1.25,0.08524686971753619,0.9206661929493908
above_below_expiry,77,9,32,8,8,0.5,16.153480675766893,17.765582962980012,1.0,0.20978546332164796,1.0095925422354308
company_treasury,6,0,0,0,0,0.0,0.0,0,0,0.0,0.0
expiry_target,71,0,0,0,0,0.0,0,0,0,0.0,0.0
indirect_event,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0
range_bucket,9,0,0,0,0,0.0,0.0,0,0,0.0,0.0
touch_above,24,1,4,1,1,0.5,1.8266143659419072,1.6405927218365948,0.125,0.07610893191424613,0.9133071829709536
touch_below,24,0,0,0,0,0.0,0,0,0,0.0,0.0
up_down_short_term,1,1,4,1,1,0.5,0.43322881727901574,1.9948012081773319,0.125,0.43322881727901574,0.21661440863950787
