market_id,timestamp,horizon_hours,yes_price,future_yes_price,yes_change,btc_close,future_btc_close,btc_return,btc_past_1h_return,btc_past_3h_return,question
573655,1777795204,1,0.0175,0.0185,0.0009999999999999974,78379.39,78404.77,0.0003238096137263209,0.0002777010994333897,0.0017833620867930852,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777795204,3,0.0175,0.0185,0.0009999999999999974,78379.39,78746.13,0.004679036159888527,0.0002777010994333897,0.0017833620867930852,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777795204,6,0.0175,0.0185,0.0009999999999999974,78379.39,78656.83,0.003539706037518311,0.0002777010994333897,0.0017833620867930852,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777798807,1,0.0185,0.0185,0.0,78532.44,78657.99,0.0015987023961053918,0.0019526816934911449,0.0032097114529955903,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777798807,3,0.0185,0.0185,0.0,78532.44,78659.99,0.0016241695788390494,0.0019526816934911449,0.0032097114529955903,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777798807,6,0.0185,0.0185,0.0,78532.44,78650.53,0.0015037098045087673,0.0019526816934911449,0.0032097114529955903,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777802407,1,0.0185,0.0185,0.0,78404.77,78746.13,0.0043538167384458955,-0.0016256976098030095,0.0006016006354454495,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777802407,3,0.0185,0.0185,0.0,78404.77,78715.97,0.003969146264952975,-0.0016256976098030095,0.0006016006354454495,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777802407,6,0.0185,0.0185,0.0,78404.77,78721.36,0.004037892082331171,-0.0016256976098030095,0.0006016006354454495,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777806021,1,0.0185,0.0185,0.0,78657.99,78659.99,2.5426533273987804e-05,0.0032296504409106887,0.003554505846498752,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777806021,3,0.0185,0.0185,0.0,78657.99,78656.83,-1.4747389298957326e-05,0.0032296504409106887,0.003554505846498752,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777806021,6,0.0185,0.0185,0.0,78657.99,78732.28,0.0009444685784621955,0.0032296504409106887,0.003554505846498752,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777809608,1,0.0185,0.0185,0.0,78746.13,78715.97,-0.0003830029488433716,0.001120547321384635,0.0027210411391776737,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777809608,3,0.0185,0.0185,0.0,78746.13,78650.53,-0.0012140279147687108,0.001120547321384635,0.0027210411391776737,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777809608,6,0.0185,0.0185,0.0,78746.13,78753.17,8.940121882806935e-05,0.001120547321384635,0.0027210411391776737,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777813207,1,0.0185,0.0185,0.0,78659.99,78656.83,-4.0172901115338205e-05,-0.001093895026968302,0.003255159092999076,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777813207,3,0.0185,0.0185,0.0,78659.99,78721.36,0.0007801933359004411,-0.001093895026968302,0.003255159092999076,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777813207,6,0.0185,0.0185,0.0,78659.99,78921.14,0.0033199851665375773,-0.001093895026968302,0.003255159092999076,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777816807,1,0.0185,0.0185,0.0,78715.97,78650.53,-0.0008313433728886568,0.0007116705710234125,0.0007371151996128546,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777816807,3,0.0185,0.0185,0.0,78715.97,78732.28,0.00020720064810225513,0.0007116705710234125,0.0007371151996128546,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777816807,6,0.0185,0.0185,0.0,78715.97,78822.53,0.0013537278394714271,0.0007116705710234125,0.0007371151996128546,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777820409,1,0.0185,0.0185,0.0,78656.83,78721.36,0.0008203991948315084,-0.0007513087877847331,-0.0011340239831468912,"Will Bitcoin hit $150k by June 30, 2026?"
573655,1777820409,3,0.0185,0.0185,0.0,78656.83,78753.17,0.001224814170619341,-0.0007513087877847331,-0.0011340239831468912,"Will Bitcoin hit $150k by June 30, 2026?"
