market_id,condition_id,market_type,question,strike_direction,strike_distance_pct,strike_risk,trade_count,unique_wallets,large_trade_count,buy_yes_usdc,sell_yes_usdc,buy_no_usdc,sell_no_usdc,net_yes_usdc,net_no_usdc,top_wallet,top_wallet_usdc,flow_signal
2132779,0x27ad7baca4066891d8e8e5a4df38b164e95b56757041a5c198d24f9cd984b877,price_target,"Will Bitcoin dip to $70,000 in May?",below,-0.09673631474868301,far_below_spot,250,178,10,1668.243418999999,1006.52545,29957.197965000003,5830.415780000001,661.717968999999,24126.782185000004,0x0fe40e887acbd0022f89d996acce26ab428501b7,13882.753130000003,NO_PRESSURE
2132768,0x97947fe256c481e0f651723674a93ecf35c3999f782b56f41b40c31cb78b2af4,price_target,"Will Bitcoin reach $150,000 in May?",above,0.9355650398242507,far_above_spot,250,235,39,79.69284,290.31004,33135.596235,113077.05273000004,-210.61720000000003,-79941.45649500005,0xbfbfcfd2f2107a6792adc2c46df3ad6458691e6c,19999.98,YES_PRESSURE
2132781,0xd72eb4440b11191d981c1ca0e4d363f42c84313067b3a29db721c6780218c2bf,price_target,"Will Bitcoin dip to $60,000 in May?",below,-0.22577398407029972,far_below_spot,250,159,23,2007.9432460000003,641.7503999999999,45281.91366499998,32423.08847,1366.1928460000004,12858.82519499998,0xc4fd6e1f97d9d2d21e6f4d05811a724340d4fe19,22789.978639999998,MIXED
2132783,0xe9894e3b49c49f930d87c016072bcd80ec7799b1caf6e1011517913c99f7df2f,price_target,"Will Bitcoin dip to $50,000 in May?",below,-0.35481165339191645,far_below_spot,250,235,23,662.34696,101.88609,32955.835256000006,15196.87084,560.46087,17758.964416000006,0xf32a44b612a60f2b0c0f23c419876ec1c89c06fd,13997.784,NO_PRESSURE
2132785,0x8f2709987bc7978e4cc6fe7dd79f1114013e88461711e307dea2662cb00ab38e,price_target,"Will Bitcoin dip to $40,000 in May?",below,-0.48384932271353315,far_below_spot,250,216,13,72.0,6.02813,16682.50160699999,6555.0251,65.97187,10127.476506999992,0x4cedb5946874837edc86f59c55d18af4f45140a2,1999.998999,NO_PRESSURE
2303408,0x8746cbae1c41f2ea9c5bd53782c82d1ee8104ab081ede8386a5a62126d11244d,price_range_daily,"Will the price of Bitcoin be above $66,000 on May 26?",above,-0.1483513824773297,in_the_money_or_unclear,250,32,3,3951.744211999978,726.2701599999994,3.41,0,3225.4740519999787,3.41,0x9d699c315b662a161e763a3c4c954408a048ab3a,2297.64006,YES_PRESSURE
2303412,0x03e0a8c8c8c578a46bb970ee85a2fad0b5ed0f4a38e88e0ad5f39d3192f7c7b4,price_range_daily,"Will the price of Bitcoin be above $68,000 on May 26?",above,-0.12254384861300635,in_the_money_or_unclear,115,104,41,56854.07517299999,55.79371,94.206029,29.95618,56798.28146299999,64.249849,0x8422f6000f91fc85b0cce2dcedbd4129ff65bc87,5434.11,YES_PRESSURE
2303414,0xf53a19a675296d97700afaa6f78bac0ef897bbf6843c727ebd0d8a078e061c9e,price_range_daily,"Will the price of Bitcoin be above $70,000 on May 26?",above,-0.09673631474868301,in_the_money_or_unclear,250,227,6,30182.603608999987,284.51668,44.529919,10.22064,29898.086928999986,34.309279000000004,0xdb38cbc87f41a2b6b61229b3ee5f0480a8eb51ec,7661.0792519999995,YES_PRESSURE
2303417,0xbf749213734b39863204ef4df432ba13350babee58a596083cdcceaa8613eb2e,price_range_daily,"Will the price of Bitcoin be above $72,000 on May 26?",above,-0.07092878088435967,in_the_money_or_unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303422,0x0cfa93ab96f4e662b57fe86432ff98c5f8f1ef50f080f5ae09b3ca2a4973405f,price_range_daily,"Will the price of Bitcoin be above $74,000 on May 26?",above,-0.04512124702003632,in_the_money_or_unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303425,0x058dc425aae254c4f96c4bc0985d9ad80ea97c03a761317b517d0f34a401547c,price_range_daily,"Will the price of Bitcoin be above $76,000 on May 26?",above,-0.01931371315571298,near_spot,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303427,0xddb1f1a77754e3ece3eb391d48a1adc08d720c1193011e6e733e24f2e9ba3f2a,price_range_daily,"Will the price of Bitcoin be above $78,000 on May 26?",above,0.006493820708610361,near_spot,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303430,0x0f22aaab0d69d7f8537fa9745a39a095f045d5e7881857545a22f50694c5525e,price_range_daily,"Will the price of Bitcoin be above $80,000 on May 26?",above,0.032301354572933705,far_above_spot,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303434,0x59f30900744b8180cd7da2414c578cfc86b5eeb921ba97e03278e92daf746def,price_range_daily,"Will the price of Bitcoin be above $82,000 on May 26?",above,0.05810888843725705,far_above_spot,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303436,0x374c221ccc7a0f6d623365738750baa28205aa0d2b402b1461b94b8a6f9bca86,price_range_daily,"Will the price of Bitcoin be above $84,000 on May 26?",above,0.08391642230158039,far_above_spot,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2303438,0xf260a8d3549d6e11b50ccf0895ae47dce5596ac910c9aac1fb864efd87c789cc,price_range_daily,"Will the price of Bitcoin be above $86,000 on May 26?",above,0.10972395616590373,far_above_spot,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2340209,0x8fea4bfdeac480684145f4a213cd349730414ee9dbfd2b2cfd2401eea591181c,price_range_daily,Bitcoin Up or Down on May 25?,unknown,,no_strike,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2290309,0xd5f5036584ccb6e15ef6963a98dfde63771107bf75bc3fbe8d2a06da06d18d16,company_treasury,MicroStrategy announces >1000 BTC purchase May 19-25?,unknown,,no_strike,250,131,11,569.627607,75.01145000000001,32828.74348599996,1972.7006199999998,494.616157,30856.042865999963,0xa6d9b55a6a3a54a9d50ca94c64f00af69c50fd2f,14576.19,NO_PRESSURE
1553608,0x89b80e42d59b2fd03f3ee592ab7e0114b2d96beb6fa14ba51cfce53b5f6279df,company_treasury,"Will MicroStrategy announce holding 1M+ BTC by December 31, 2026?-bV81",unknown,,no_strike,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
2351348,0x0fb5b2a5d3dbef910afa59ebccfd4c7f28bdb49584599674c91a667912f2cc90,company_treasury,MicroStrategy announces >1000 BTC purchase May 26-June 1?,unknown,,no_strike,13,11,0,45.554998000000005,0,124.39999899999998,4.3,45.554998000000005,120.09999899999998,0xb2250ea026886ce6fa8cc9abd8f7b1bf1262d4a1,99.99999999999999,MIXED
2109881,0x5c0d7c74bbf6ef1e0114e6f75514e3360673e15b6542b78a95363a41c24089d3,indirect_event,Will Anthropic flip BTC by December 31?,unknown,,no_strike,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
540844,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,price_target,Will bitcoin hit $1m before GTA VI?,above,-0.9999870962330678,in_the_money_or_unclear,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,trade_api_error
