run_timestamp,market_id,market_type,question,yes_price,taker_fee_rate,action,confidence,gross_edge,net_edge,reason,execution_mode,execution_side,limit_price,expected_net_edge,execution_reason
1779343511,573655,price_target,"Will Bitcoin hit $150k by June 30, 2026?",0.0135,0.07,HOLD,0.0,-0.0013750000000000012,-0.08342000000000001,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.08342000000000001,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132768,price_target,"Will Bitcoin reach $150,000 in May?",0.0025,0.07,HOLD,0.0,0.0,-0.08232500000000001,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.08232500000000001,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132776,price_target,"Will Bitcoin reach $85,000 in May?",0.085,0.07,HOLD,0.0,0.001145833333333332,-0.07540416666666667,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.07540416666666667,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132775,price_target,"Will Bitcoin reach $90,000 in May?",0.0205,0.07,HOLD,0.0,0.0015954861111111135,-0.0793995138888889,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.0793995138888889,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132780,price_target,"Will Bitcoin dip to $65,000 in May?",0.0125,0.07,HOLD,0.0,-0.01139409722222222,-0.09301909722222222,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.09301909722222222,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132778,price_target,"Will Bitcoin dip to $75,000 in May?",0.465,0.07,AVOID,0.8854166666666657,-0.06640624999999994,-0.11495624999999995,短期隐含概率转弱,SKIP,,,-0.11495624999999995,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132769,price_target,"Will Bitcoin reach $120,000 in May?",0.0015,0.07,HOLD,0.0,0.0006006944444444445,-0.08179430555555557,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.08179430555555557,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132779,price_target,"Will Bitcoin dip to $70,000 in May?",0.095,0.07,HOLD,0.0,-0.018784722222222217,-0.09533472222222222,净优势不足，等待更清晰的定价偏差,SKIP,,,-0.09533472222222222,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2159397,price_target,"Will Bitcoin reach $86,000 May 4-10?",0.0015,0.07,HOLD,0.0,0.0,0.0,价格历史不足，先观察,SKIP,,,0.0,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2159398,price_target,"Will Bitcoin reach $84,000 May 4-10?",0.0165,0.07,HOLD,0.0,0.0,0.0,价格历史不足，先观察,SKIP,,,0.0,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132770,price_target,"Will Bitcoin reach $115,000 in May?",0.0015,0.07,HOLD,0.0,-0.0003645833333333333,-0.08275958333333334,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.08275958333333334,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132773,price_target,"Will Bitcoin reach $100,000 in May?",0.0045,0.07,HOLD,0.0,0.00014409722222222254,-0.08204090277777779,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.08204090277777779,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2132774,price_target,"Will Bitcoin reach $95,000 in May?",0.0065,0.07,HOLD,0.0,1.736111111111209e-06,-0.0820432638888889,YES 价格太接近 0，容易被噪音扫损,SKIP,,,-0.0820432638888889,Taker 净优势不足，Maker 条件也未达到，继续观察
1779343511,2159396,price_target,"Will Bitcoin reach $88,000 May 4-10?",0.001,0.07,HOLD,0.0,0.0,0.0,价格历史不足，先观察,SKIP,,,0.0,Taker 净优势不足，Maker 条件也未达到，继续观察
