timestamp,market_id,action,price,notional,fee,slippage,pnl,net_edge,reason
1779082505,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.00694541666666661,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779082806,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.007105138888888991,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779083105,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.007264861111111149,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779083404,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.007424583333333418,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779083707,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.007584305555555577,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779084012,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.007744027777777846,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779084306,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.007903750000000005,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779084604,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.008199722222222197,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779084904,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.008390694444444504,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779085205,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.008445416666666667,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779085505,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.008605138888888936,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779085805,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.008764861111111095,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779086125,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.008893333333333437,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779086405,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.009158055555555591,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779086704,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.00931777777777786,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779087015,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.009477500000000019,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779087305,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.009500972222222254,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779087609,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.009629444444444486,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779087905,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.009757916666666717,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779088206,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.009886388888888837,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779088504,2285034,REJECTED,0.967,0.0,0.0,0.0,0.0,-0.01001486111111118,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779088805,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.010279583333333333,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779089104,2285034,REJECTED,0.9655,0.0,0.0,0.0,0.0,-0.010439305555555603,range-like 市场缺少 BTC 现货确认，暂停 HOLD
1779089407,2285034,REJECTED,0.968,0.0,0.0,0.0,0.0,-0.010371944444444479,range-like 市场缺少 BTC 现货确认，暂停 HOLD
