horizon_hours,sample_count,average_yes_change,average_btc_return
1,164081,-0.0009209262498400063,-3.0191787445065055e-05
3,158663,-0.0018248583475666605,-0.00014176912303783413
6,151602,-0.0027851083758783403,-0.00041125933092648183
