timestamp,market_id,action,cash,invested,equity,peak_equity,drawdown,pnl,fee,slippage
1779315306,2289402,BUY_NO,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.48125000000000007,0.0625
1779315607,2269345,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315607,2285043,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315607,2285045,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315607,2293515,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315607,2293518,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315608,2277981,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315608,2277984,MARK,974.45625,25.000000000000004,999.45625,1000.0,0.0005437500000000455,0.0,0.0,0.0
1779315608,2289402,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315609,2303425,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315609,2303427,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2269345,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2277981,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2277984,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2285043,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2285045,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2289402,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2293515,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2293518,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315918,2303427,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779315919,2303425,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779316206,2269345,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
1779316206,2285043,MARK,974.45625,25.28162352738843,999.7378735273884,1000.0,0.0002621264726116124,0.0,0.0,0.0
