strategy,market_type,market_count,traded_market_count,entry_count,exit_count,win_count,loss_count,win_rate,realized_pnl,total_fees,total_slippage,average_pnl_per_exit
ALL,all,390,234,694,694,399,295,0.5749279538904899,9.712208514280718,732.7061931240717,43.375,0.013994536764093254
YES_NO_REV_SL12_CD60M,price_range_daily,78,51,198,198,94,104,0.47474747474747475,-148.85141454675426,223.27875688455347,12.375,-0.7517748209432034
YES_NO_REV_SL15_CD60M,price_range_daily,78,51,176,176,90,86,0.5113636363636364,-63.58796035825813,199.34146388243616,11.0,-0.36129522930828484
YES_NO_REV_SL25_CD60M,price_range_daily,78,51,123,123,85,38,0.6910569105691057,126.37852513054855,110.56834041608613,7.6875,1.0274676839881995
YES_NO_SL25,price_range_daily,78,51,129,129,89,40,0.689922480620155,135.7646585313605,122.04921553288037,8.0625,1.0524392134213993
YES_ONLY_SL25,price_range_daily,78,30,68,68,41,27,0.6029411764705882,-39.9916002426159,77.46841640811422,4.25,-0.5881117682737633
