timestamp,strategy,market_id,market_type,action,side,price,notional,fee,slippage,pnl,net_edge,reason,question
1778826008,YES_NO_REV_SL25_CD60M,2251421,price_range_daily,BUY_NO,NO,0.4461124999999999,25.0,0.9712500000000003,0.0625,0.0,0.0015666666666667092,实验策略信号入场,"Will the price of Bitcoin be above $80,000 on May 20?"
1778853028,YES_NO_REV_SL25_CD60M,2251421,price_range_daily,SELL_NO,NO,0.625,34.10539662080754,0.919400935862591,0.0,8.071646620807538,0.0,触发实验止盈,"Will the price of Bitcoin be above $80,000 on May 20?"
1778853324,YES_NO_REV_SL25_CD60M,2251421,price_range_daily,BUY_NO,NO,0.5864624999999999,25.0,0.7262500000000002,0.0625,0.0,0.001818055555555552,实验策略信号入场,"Will the price of Bitcoin be above $80,000 on May 20?"
1778983208,YES_NO_REV_SL25_CD60M,2251421,price_range_daily,SELL_NO,NO,0.8,33.62533836349298,0.4774388814289064,0.0,7.836588363492979,0.0,触发实验止盈,"Will the price of Bitcoin be above $80,000 on May 20?"
1778983505,YES_NO_REV_SL25_CD60M,2251421,price_range_daily,BUY_NO,NO,0.7969875,25.0,0.35874999999999996,0.0625,0.0,0.002837500000000003,实验策略信号入场,"Will the price of Bitcoin be above $80,000 on May 20?"
1779300307,YES_NO_REV_SL25_CD60M,2251421,price_range_daily,MARK_TO_MARKET_EXIT,NO,0.9995,31.351339183487823,0.0010973352781566885,0.0,5.930089183487823,0.0,回测结束平仓,"Will the price of Bitcoin be above $80,000 on May 20?"
1778826008,YES_NO_REV_SL15_CD60M,2251421,price_range_daily,BUY_NO,NO,0.4461124999999999,25.0,0.9712500000000003,0.0625,0.0,0.0015666666666667092,实验策略信号入场,"Will the price of Bitcoin be above $80,000 on May 20?"
1778830222,YES_NO_REV_SL15_CD60M,2251421,price_range_daily,SELL_NO,NO,0.375,20.09547759813949,0.9194009358625911,0.0,-5.938272401860512,0.0,触发实验止损,"Will the price of Bitcoin be above $80,000 on May 20?"
1778834109,YES_NO_REV_SL15_CD60M,2251421,price_range_daily,BUY_NO,NO,0.4160375,25.0,1.02375,0.0625,0.0,0.004675000000000089,实验策略信号入场,"Will the price of Bitcoin be above $80,000 on May 20?"
1778852410,YES_NO_REV_SL15_CD60M,2251421,price_range_daily,SELL_NO,NO,0.5549999999999999,32.31149535799056,1.0388636841630865,0.0,6.225245357990559,0.0,触发实验止盈,"Will the price of Bitcoin be above $80,000 on May 20?"
