timestamp,low,high,open,close
1777165200,77470.32,77594.0,77520.33,77479.27
1777168800,77471.84,77620.55,77479.26,77545.7
1777172400,77346.44,77566.0,77545.7,77408.01
1777176000,77394.88,77838.01,77408.01,77790.06
1777179600,77736.0,78221.43,77790.05,78004.97
1777183200,77917.89,78074.58,78004.97,78019.26
1777186800,77985.28,78148.82,78024.64,78126.31
1777190400,78045.23,78237.34,78126.32,78050.01
1777194000,77940.69,78081.29,78050.01,78026.91
1777197600,77975.44,78077.06,78026.91,78024.64
1777201200,78024.63,78177.02,78024.63,78118.01
1777204800,77782.36,78135.23,78118.01,77850.81
1777208400,77805.72,78011.19,77851.74,77993.74
1777212000,77893.44,78189.65,77990.84,78108.37
1777215600,78014.81,78146.73,78108.38,78073.83
1777219200,77945.42,78113.2,78073.83,77945.43
1777222800,77867.2,78079.99,77945.42,78037.46
1777226400,78009.17,78375.37,78037.46,78299.91
1777230000,78044.32,78527.65,78299.91,78258.01
1777233600,78178.8,78410.1,78258.0,78218.16
1777237200,77873.76,78943.0,78216.01,78437.96
1777240800,77989.33,78882.55,78437.96,78333.24
1777244400,78059.0,78910.4,78334.0,78673.83
1777248000,78417.72,79399.0,78673.84,79322.57
1777251600,78750.01,79496.0,79328.0,79301.99
1777255200,79048.0,79322.7,79301.99,79149.68
1777258800,79091.87,79347.43,79146.4,79120.02
1777262400,78893.94,79175.92,79120.02,78942.02
1777266000,77584.43,78961.19,78942.06,77790.0
1777269600,77481.0,77880.08,77790.01,77709.76
1777273200,77572.0,77749.12,77709.76,77613.58
1777276800,77563.02,77823.82,77613.58,77811.56
1777280400,77706.41,77992.86,77814.18,77902.45
1777284000,77790.47,77953.53,77902.44,77857.45
1777287600,77745.01,77899.57,77857.46,77847.89
1777291200,77620.0,77878.01,77847.88,77671.04
1777294800,77572.4,77976.01,77671.04,77750.0
1777298400,77670.02,78278.39,77750.0,77817.6
1777302000,76555.0,77840.64,77821.44,76775.89
1777305600,76529.01,76861.44,76775.9,76615.83
1777309200,76611.84,76925.8,76615.84,76721.22
1777312800,76646.4,76886.15,76721.22,76814.01
1777316400,76447.51,76891.94,76813.05,76886.0
1777320000,76834.97,77075.0,76886.0,76955.36
1777323600,76777.0,76983.11,76955.36,76777.0
1777327200,76735.0,77079.3,76777.01,77064.48
1777330800,77003.53,77444.41,77064.48,77364.42
1777334400,77206.75,77478.99,77364.48,77376.38
1777338000,77031.69,77399.69,77376.38,77088.49
1777341600,76672.87,77226.24,77088.49,76886.86
1777345200,76664.99,76895.99,76886.86,76809.35
1777348800,76682.09,76954.0,76809.35,76885.6
1777352400,76808.0,77155.99,76885.6,76882.73
